8100,1
8116,1
55536,1
55609,1
55610,1
13862,2
13863,2
14544,2
15546,2
14319,3
14335,3
14235,4
14281,4
14294,4
14489,4
7139,5
7206,5
7223,5
44542,5
44733,5
16429,6
16435,6
38788,6
39596,6
16480,7
16838,7
16717,8
16754,8
16829,8
17013,8
7589,9
7829,9
66719,9
66721,9
66723,9
9896,10
10495,10
60232,10
61034,10
60713,11
60715,11
61316,12
61331,12
61398,12
61421,12
6684,13
6856,13
7260,13
7487,13
7527,13
19970,14
19972,14
26715,14
27573,14
27201,15
27354,15
26961,16
27533,16
27544,16
27549,16
