61388,429.0,16312
61408,441.0,16288
61398,434.0,15829
61377,421.0,15071
10839,182.0,14696
11089,214.0,14670
10901,196.0,14460
61279,373.0,14030
61403,437.0,13676
61197,354.0,13199
10821,175.0,12766
10904,199.0,12338
11078,212.0,12298
61406,439.0,10858
10909,203.0,9642
10732,162.0,9530
61316,406.0,8985
11098,220.0,6916
61013,347.0,5852
11108,227.0,5559
61270,366.0,5481
11090,215.0,5106
10837,180.0,5031
61315,405.0,4814
10313,94.0,3811
61384,425.0,3708
61441,454.0,3667
11099,221.0,3539
61379,423.0,3502
61314,404.0,3288
61008,342.0,3179
11047,207.0,2957
10738,165.0,2448
10654,126.0,2350
60263,246.0,2332
10730,160.0,2234
61397,433.0,2193
10658,130.0,2160
10259,87.0,2070
10045,50.0,1692
61375,419.0,1641
60253,244.0,1588
60371,277.0,1585
9918,15.0,1479
61417,444.0,1433
10895,192.0,1416
61310,401.0,1228
10038,49.0,1216
10905,200.0,982
9850,0.0,981
60196,232.0,933
10903,198.0,877
9932,22.0,847
61009,343.0,818
61405,438.0,792
9861,5.0,788
10899,195.0,756
61407,440.0,744
61208,355.0,717
61268,365.0,690
61386,427.0,610
10224,86.0,534
10354,97.0,515
11102,223.0,487
10902,197.0,393
10898,194.0,354
61440,453.0,348
60287,255.0,346
60682,329.0,309
60198,233.0,244
60367,273.0,221
11096,219.0,203
61265,363.0,171
10832,179.0,170
10661,133.0,157
60763,331.0,104
10881,186.0,88
60531,318.0,87
10352,96.0,87
10036,47.0,85
10669,140.0,74
10634,111.0,56
60262,245.0,53
60288,256.0,50
60372,278.0,49
61298,389.0,41
10195,82.0,39
11095,218.0,37
61299,390.0,36
10826,176.0,33
10432,102.0,32
9912,10.0,29
60480,305.0,29
10906,201.0,28
11063,209.0,25
61437,452.0,25
10143,71.0,22
60527,316.0,22
61266,364.0,21
10850,184.0,20
61331,412.0,18
61434,451.0,17
61401,436.0,17
10910,204.0,14
9927,17.0,14
60282,251.0,13
60223,238.0,11
61376,420.0,9
10664,136.0,6
10652,124.0,5
60680,328.0,4
10893,191.0,4
61415,443.0,3
61072,351.0,2
10884,187.0,2
10896,193.0,2
10731,161.0,1
60783,335.0,1
