1,15,0.5,15.2
2,15,-0.5,15.2
3,15.2,-0.5,15.2
4,15.2,0.5,15.2
5,15,0.5,16.2
6,15,-0.5,16.2
7,15.2,-0.5,16.2
8,15.2,0.5,16.2
9,15,0.5,18.7
10,15,-0.5,18.7
11,15.2,-0.5,18.7
12,15.2,0.5,18.7
13,15,0.5,19.7
14,15,-0.5,19.7
15,15.2,-0.5,19.7
16,15.2,0.5,19.7
17,12,1.25,18.6
18,13,1.25,18.6
19,13,1.45,18.6
20,12,1.45,18.6
21,12,1.25,19.6
22,13,1.25,19.6
23,13,1.45,19.6
24,12,1.45,19.6
25,12,1.40,34
26,13,1.40,34
27,13,1.60,34
28,12,1.60,34
29,12,1.25,33
30,13,1.25,33
31,13,1.45,33
32,12,1.45,33

33,0.5,15,38.8
34,-0.5,15,38.8
35,-0.5,15.2,38.8
36,0.5,15.2,38.8
37,0.5,15,39.8
38,-0.5,15,39.8
39,-0.5,15.2,39.8
40,0.5,15.2,39.8
41,0.5,15,35.3
42,-0.5,15,35.3
43,-0.5,15.2,35.3
44,0.5,15.2,35.3
45,0.5,15,36.3
46,-0.5,15,36.3
47,-0.5,15.2,36.3
48,0.5,15.2,36.3
49,-1.25,12,35.4
50,-1.25,13,35.4
51,-1.45,13,35.4
52,-1.45,12,35.4
53,-1.25,12,36.4
54,-1.25,13,36.4
55,-1.45,13,36.4
56,-1.45,12,36.4
57,-1.40,12,21
58,-1.40,13,21
59,-1.60,13,21
60,-1.60,12,21
61,-1.25,12,22
62,-1.25,13,22
63,-1.45,13,22
64,-1.45,12,22
