8100,1,2704
8116,1,2708
55536,1,13780
55609,1,13798
55610,1,13799
13862,2,5547
13863,2,5548
14544,2,6229
15546,2,7231
14319,3,6004
14335,3,6020
14235,4,5920
14281,4,5966
14294,4,5979
14489,4,6174
7139,5,2340
7206,5,2369
7223,5,2375
44542,5,13427
44733,5,13483
16429,6,8114
16435,6,8120
38788,6,12160
39596,6,12968
16480,7,8165
16838,7,8523
16717,8,8402
16754,8,8439
16829,8,8514
17013,8,8698
7589,9,2529
7829,9,2609
66719,9,15220
66721,9,15222
66723,9,15223
9896,10,2862
10495,10,3461
60232,10,13896
61034,10,14698
60713,11,14377
60715,11,14379
61316,12,14980
61331,12,14995
61398,12,15062
61421,12,15085
6684,13,2181
6856,13,2238
7260,13,2397
7487,13,2492
7527,13,2503
19970,14,9863
19972,14,9865
26715,14,10694
27573,14,11552
27201,15,11180
27354,15,11333
26961,16,10940
27533,16,11512
27544,16,11523
27549,16,11528
