104044,573.0,23556
63783,50.0,23491
63764,44.0,20020
104079,583.0,19706
63853,71.0,15470
103922,543.0,14515
104135,598.0,13772
63910,99.0,12349
104146,604.0,12101
65423,158.0,10100
102907,523.0,9978
60655,0.0,9516
104819,636.0,7780
63829,62.0,6515
105269,679.0,5991
104075,580.0,5696
64207,135.0,5629
63733,34.0,5079
103985,555.0,4753
103979,553.0,4625
63756,40.0,4488
63721,30.0,4398
103941,546.0,3818
65763,167.0,3731
66968,191.0,3692
105659,706.0,3586
67126,216.0,3372
108640,887.0,3249
63790,53.0,3118
108801,892.0,2929
104036,570.0,2826
103691,527.0,2716
60803,1.0,2582
63823,60.0,2398
104087,586.0,2181
61102,2.0,2116
63755,39.0,2023
103897,538.0,1919
65760,166.0,1825
66965,188.0,1556
104030,568.0,1431
104792,624.0,1318
104092,587.0,1293
65394,157.0,1261
67570,296.0,1174
63775,45.0,1017
103845,531.0,977
63800,56.0,874
63852,70.0,823
105957,735.0,815
103888,537.0,761
63928,107.0,704
63715,28.0,628
103966,549.0,586
68648,422.0,571
63844,68.0,419
104577,609.0,388
63734,35.0,380
104812,634.0,375
104156,606.0,366
101960,515.0,350
63927,106.0,340
104049,574.0,330
63725,31.0,328
63700,25.0,324
103872,535.0,315
103912,540.0,308
62370,13.0,306
104124,593.0,267
62213,5.0,248
113619,1000.0,237
112643,974.0,231
67250,252.0,211
72112,489.0,197
104103,590.0,196
63968,113.0,176
104027,566.0,175
108621,880.0,130
63737,37.0,127
104796,625.0,112
63802,57.0,110
63909,98.0,105
103879,536.0,96
63985,121.0,90
104095,588.0,71
106173,758.0,69
105791,710.0,65
63903,94.0,55
63879,84.0,54
107274,798.0,36
104055,575.0,33
63779,47.0,23
104040,572.0,16
64048,128.0,16
103970,551.0,13
63886,87.0,13
63924,103.0,11
112621,966.0,9
64135,130.0,8
109412,913.0,8
107319,802.0,8
108631,883.0,7
66967,190.0,5
103910,539.0,4
67125,215.0,2
67128,217.0,2
67134,221.0,2
63859,74.0,1
105262,677.0,1
105247,670.0,1
104586,613.0,1
63692,23.0,1
